metric,batch_size,precision,baseline,n_baseline,n_precision,geom_mean_baseline,geom_mean_precision,ratio_precision_over_baseline,ci95_low,ci95_high,p_two_sided,p_one_sided_gt,df,direction,n_batches,geo_mean_ratio_across_batches,geo_ci95_low,geo_ci95_high
throughput_qps,32,fp16,fp32,3.0,3.0,5.886052095763282,10.293314171573765,1.7487636881404403,1.7375822030035422,1.7600171270586618,1.7864250079213662e-09,8.932125039606831e-10,3.9950851806571914,faster,,,,
throughput_qps,32,int4,fp32,3.0,3.0,5.886052095763282,5.569471743252671,0.9462151630056957,0.9353000699695406,0.9572576368256369,0.0006334916818409031,0.9996832541590795,2.9863594752597233,slower,,,,
throughput_qps,64,fp16,fp32,3.0,3.0,8.820161408270362,17.52893989022647,1.9873717814041572,1.9742134867528998,2.000617777167422,3.4322811259812624e-08,1.7161405629906312e-08,3.1368219957319696,faster,,,,
throughput_qps,64,int4,fp32,3.0,3.0,8.820161408270362,10.968699731125085,1.243593991470509,1.2271285126485263,1.260280402322057,7.729328487671161e-05,3.8646642438355805e-05,2.367572641864136,faster,,,,
throughput_qps,128,fp16,fp32,3.0,3.0,10.076833805771326,25.087755017860218,2.4896465994598085,2.4883914572040333,2.490902374808129,3.108624468950438e-14,1.554312234475219e-14,3.8304289884168536,faster,,,,
throughput_qps,128,int4,fp32,3.0,3.0,10.076833805771326,19.607637022412597,1.9458132782921036,1.9232269140833564,1.968664896613319,1.5958087332457183e-05,7.979043666228591e-06,2.01039464262869,faster,,,,
throughput_qps,256,fp16,fp32,3.0,3.0,11.618302914677084,30.623188972324883,2.6357712651509067,2.6236268678311117,2.647971877166499,9.974610870600031e-07,4.987305435300016e-07,2.0398214186450963,faster,,,,
throughput_qps,256,int4,fp32,3.0,3.0,11.618302914677084,25.445936299809592,2.190159482557856,2.180488395656896,2.1998734634829393,6.948468098677552e-07,3.474234049338776e-07,2.1810941133164827,faster,,,,
throughput_qps,ALL,fp16,fp32,,,,,,,,,,,,4.0,2.1853143485241864,1.6095519939028968,2.9670360572109593
throughput_qps,ALL,int4,fp32,,,,,,,,,,,,4.0,1.4964470530868876,0.8033993629811877,2.7873482179308953
